PRODUCT_ID,DATE,PRICE
1,"2006-02-01 09:00:26",0.70
1,"2007-01-04 10:00:52",0.74
1,"2008-06-05 15:00:27",0.77
2,"2006-02-01 09:00:50",1.50
2,"2007-01-04 10:00:50",1.58
2,"2008-06-05 15:00:54",1.65
3,"2006-02-01 09:01:10",0.50
3,"2007-01-04 10:01:10",0.53
3,"2008-06-05 15:01:10",0.55
4,"2006-02-01 09:01:55",0.90
4,"2007-01-04 10:01:55",0.95
4,"2008-06-05 15:01:55",0.99
5,"2006-02-01 09:13:26",1.70
5,"2007-01-04 10:13:52",1.79
5,"2008-06-05 15:13:27",1.87
6,"2006-02-01 09:14:02",0.70
6,"2007-01-04 10:14:02",0.74
6,"2008-06-05 15:14:02",0.77
7,"2006-02-01 09:15:10",0.90
7,"2007-01-04 10:15:10",0.95
7,"2008-06-05 15:15:10",0.99
8,"2006-02-01 09:17:32",1.70
8,"2007-01-04 10:17:32",1.79
8,"2008-06-05 15:17:32",1.87
9,"2006-02-01 09:18:56",0.70
9,"2007-01-04 10:18:56",0.74
9,"2008-06-05 15:18:56",0.77
10,"2006-02-01 09:20:26",1.10
10,"2007-01-04 10:20:52",1.16
10,"2008-06-05 15:20:27",1.21
11,"2006-02-01 09:20:46",1.70
11,"2007-01-04 10:20:46",1.79
11,"2008-06-05 15:20:46",1.87
12,"2006-02-01 09:21:06",0.70
12,"2007-01-04 10:21:06",0.74
12,"2008-06-05 15:21:06",0.77
13,"2006-02-01 09:21:25",1.20
13,"2007-01-04 10:21:25",1.26
13,"2008-06-05 15:21:25",1.32
14,"2006-02-01 09:21:40",1.80
14,"2007-01-04 10:21:40",1.89
14,"2008-06-05 15:21:40",1.98
15,"2006-02-01 09:21:57",0.80
15,"2007-01-04 10:21:57",0.84
15,"2008-06-05 15:21:57",0.88
16,"2006-02-01 09:22:11",1.20
16,"2007-01-04 10:35:11",1.26
16,"2008-06-05 15:22:11",1.32
17,"2006-02-01 09:22:21",2.20
17,"2007-01-04 10:35:21",2.31
17,"2008-06-05 15:22:21",2.42
18,"2006-02-01 09:22:33",0.90
18,"2007-01-04 10:35:33",0.95
18,"2008-06-05 15:22:33",0.99
19,"2006-02-01 09:22:44",1.10
19,"2007-01-04 10:35:44",1.16
19,"2008-06-05 15:22:44",1.21
20,"2006-02-01 09:23:02",1.70
20,"2007-01-04 10:23:02",1.79
20,"2008-06-05 15:23:02",1.87
21,"2006-02-01 09:23:12",0.70
21,"2007-01-04 10:23:12",0.74
21,"2008-06-05 15:23:12",0.77
22,"2006-02-01 09:23:20",0.70
22,"2007-01-04 10:23:20",0.74
22,"2008-06-05 15:23:20",0.77
23,"2006-02-01 09:23:35",1.50
23,"2007-01-04 10:23:35",1.58
23,"2008-06-05 15:23:35",1.65
24,"2006-02-01 09:25:55",0.50
24,"2007-01-04 10:25:55",0.53
24,"2008-06-05 15:25:55",0.55
25,"2006-02-01 09:26:13",0.70
25,"2007-01-04 10:52:13",0.74
25,"2008-06-05 15:27:13",0.77
26,"2006-02-01 09:26:25",1.50
26,"2007-01-04 10:52:25",1.58
26,"2008-06-05 15:27:25",1.65
27,"2006-02-01 09:26:38",0.50
27,"2007-01-04 10:52:38",0.53
27,"2008-06-05 15:27:38",0.55
28,"2006-02-01 09:26:58",0.50
28,"2007-01-04 10:52:58",0.53
28,"2008-06-05 15:27:58",0.55
29,"2006-02-01 09:27:15",0.70
29,"2007-01-04 10:27:15",0.74
29,"2008-06-05 15:27:15",0.77
30,"2006-02-01 09:27:23",1.50
30,"2007-01-04 10:27:23",1.58
30,"2008-06-05 15:27:23",1.65
31,"2006-02-01 09:27:33",0.50
31,"2007-01-04 10:27:33",0.53
31,"2008-06-05 15:27:33",0.55
32,"2006-02-01 09:27:46",0.60
32,"2007-01-04 10:27:46",0.63
32,"2008-06-05 15:27:46",0.66
33,"2006-02-01 09:27:59",1.20
33,"2007-01-04 10:27:59",1.26
33,"2008-06-05 15:27:59",1.32
34,"2006-02-01 09:28:09",0.30
34,"2007-01-04 10:28:09",0.32
34,"2008-06-05 15:28:09",0.33
35,"2006-02-01 09:28:23",0.60
35,"2007-01-04 10:28:23",0.63
35,"2008-06-05 15:28:23",0.66
36,"2006-02-01 09:28:37",1.20
36,"2007-01-04 10:28:37",1.26
36,"2008-06-05 15:28:37",1.32
37,"2006-02-01 09:28:51",0.30
37,"2007-01-04 10:28:51",0.32
37,"2008-06-05 15:28:51",0.33
38,"2006-02-01 09:29:03",1.40
38,"2007-01-04 10:29:03",1.47
38,"2008-06-05 15:29:03",1.54
39,"2006-02-01 09:29:13",2.40
39,"2007-01-04 10:29:13",2.52
39,"2008-06-05 15:29:13",2.64
40,"2006-02-01 09:29:25",1.10
40,"2007-01-04 10:29:25",1.16
40,"2008-06-05 15:29:25",1.21
41,"2006-02-01 09:29:39",0.80
41,"2007-01-04 10:29:39",0.84
41,"2008-06-05 15:29:39",0.88
42,"2006-02-01 09:29:53",0.80
42,"2007-01-04 10:29:53",0.84
42,"2008-06-05 15:29:53",0.88
